pretrigger_lead_us,min_v_out_v,passes_vmin_ge_0p9,passes_delay_lt_20us,overall_pass
0.0,0.7589092469042595,False,True,False
1.0,0.770423948779961,False,True,False
2.0,0.7824853470206897,False,True,False
3.0,0.7949376308985414,False,True,False
4.0,0.8075990245732455,False,True,False
5.0,0.8202734177129047,False,True,False
6.0,0.8327595449472527,False,True,False
7.0,0.844861537975741,False,True,False
8.0,0.8564072534010181,False,True,False
9.0,0.8672554685800931,False,True,False
10.0,0.8773106208202726,False,True,False
11.0,0.8865266864417423,False,True,False
12.0,0.8949041797775735,False,True,False
13.0,0.9000000000000001,True,True,True
14.0,0.9000000000000001,True,True,True
15.0,0.9000000000000001,True,True,True
16.0,0.9000000000000001,True,True,True
17.0,0.9000000000000001,True,True,True
18.0,0.9000000000000001,True,True,True
19.0,0.9000000000000001,True,True,True
